	sents	ner_seq	entities	num_entities	num_tokens	prompts	empty_prompts
10	The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias ; and , thus , this probably represented a true idiosyncrasy to lidocaine .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O	['lidocaine']	1	4	"Sentence: The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias ; and , thus , this probably represented a true idiosyncrasy to lidocaine .
Drugs: lidocaine"	"Sentence: The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias ; and , thus , this probably represented a true idiosyncrasy to lidocaine .
Drugs:"
11	Suxamethonium infusion rate and observed fasciculations .	B O O O O O O	['suxamethonium']	1	6	"Sentence: Suxamethonium infusion rate and observed fasciculations .
Drugs: suxamethonium"	"Sentence: Suxamethonium infusion rate and observed fasciculations .
Drugs:"
12	A dose - response study .	O O O O O O	[]	0	0	"Sentence: A dose - response study .
Drugs: "	"Sentence: A dose - response study .
Drugs:"
13	Suxamethonium chloride ( Sch ) was administered i . v .	B I O B O O O O O O O	['suxamethonium chloride', 'sch']	2	9	"Sentence: Suxamethonium chloride ( Sch ) was administered i . v .
Drugs: suxamethonium chloride, sch"	"Sentence: Suxamethonium chloride ( Sch ) was administered i . v .
Drugs:"
14	to 36 adult males at six rates :	O O O O O O O O	[]	0	0	"Sentence: to 36 adult males at six rates :
Drugs: "	"Sentence: to 36 adult males at six rates :
Drugs:"
15	0 . 25 mg s - 1 to 20 mg s - 1 .	O O O O O O O O O O O O O O	[]	0	0	"Sentence: 0 . 25 mg s - 1 to 20 mg s - 1 .
Drugs: "	"Sentence: 0 . 25 mg s - 1 to 20 mg s - 1 .
Drugs:"
16	The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded .	O O O O O O O O O O O O O O O O O O O O B O O O O O	['sch']	1	1	"Sentence: The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded .
Drugs: sch"	"Sentence: The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded .
Drugs:"
17	Six additional patients received a 30 - mg i . v .	O O O O O O O O O O O O	[]	0	0	"Sentence: Six additional patients received a 30 - mg i . v .
Drugs: "	"Sentence: Six additional patients received a 30 - mg i . v .
Drugs:"
18	bolus dose .	O O O	[]	0	0	"Sentence: bolus dose .
Drugs: "	"Sentence: bolus dose .
Drugs:"
19	Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score .	O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score .
Drugs: "	"Sentence: Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score .
Drugs:"
20	The times to first fasciculation , twitch suppression and tetanus suppression were inversely related to the infusion rates .	O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: The times to first fasciculation , twitch suppression and tetanus suppression were inversely related to the infusion rates .
Drugs: "	"Sentence: The times to first fasciculation , twitch suppression and tetanus suppression were inversely related to the infusion rates .
Drugs:"
21	Fasciculations in the six areas and the total fasciculation score were related directly to the rate of infusion .	O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Fasciculations in the six areas and the total fasciculation score were related directly to the rate of infusion .
Drugs: "	"Sentence: Fasciculations in the six areas and the total fasciculation score were related directly to the rate of infusion .
Drugs:"
22	Total fasciculation scores in the 30 - mg bolus group and the 5 - mg s - 1 and 20 - mg s - 1 infusion groups were not significantly different .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Total fasciculation scores in the 30 - mg bolus group and the 5 - mg s - 1 and 20 - mg s - 1 infusion groups were not significantly different .
Drugs: "	"Sentence: Total fasciculation scores in the 30 - mg bolus group and the 5 - mg s - 1 and 20 - mg s - 1 infusion groups were not significantly different .
Drugs:"
23	Galanthamine hydrobromide , a longer acting anticholinesterase drug , in the treatment of the central effects of scopolamine ( Hyoscine ) .	B I O O O O O O O O O O O O O O O B O B O O	['galanthamine hydrobromide', 'scopolamine', 'hyoscine']	3	15	"Sentence: Galanthamine hydrobromide , a longer acting anticholinesterase drug , in the treatment of the central effects of scopolamine ( Hyoscine ) .
Drugs: galanthamine hydrobromide, scopolamine, hyoscine"	"Sentence: Galanthamine hydrobromide , a longer acting anticholinesterase drug , in the treatment of the central effects of scopolamine ( Hyoscine ) .
Drugs:"
24	Galanthamine hydrobromide , an anticholinesterase drug capable of penetrating the blood - brain barrier , was used in a patient demonstrating central effects of scopolamine ( hyoscine ) overdosage .	B I O O O O O O O O O O O O O O O O O O O O O O B O B O O O	['galanthamine hydrobromide', 'scopolamine', 'hyoscine']	3	15	"Sentence: Galanthamine hydrobromide , an anticholinesterase drug capable of penetrating the blood - brain barrier , was used in a patient demonstrating central effects of scopolamine ( hyoscine ) overdosage .
Drugs: galanthamine hydrobromide, scopolamine, hyoscine"	"Sentence: Galanthamine hydrobromide , an anticholinesterase drug capable of penetrating the blood - brain barrier , was used in a patient demonstrating central effects of scopolamine ( hyoscine ) overdosage .
Drugs:"
25	It is longer acting than physostigmine and is used in anaesthesia to reverse the non - depolarizing neuromuscular block .	O O O O O B O O O O O O O O O O O O O O	['physostigmine']	1	4	"Sentence: It is longer acting than physostigmine and is used in anaesthesia to reverse the non - depolarizing neuromuscular block .
Drugs: physostigmine"	"Sentence: It is longer acting than physostigmine and is used in anaesthesia to reverse the non - depolarizing neuromuscular block .
Drugs:"
26	However , studies into the dose necessary to combating scopolamine intoxication are indicated .	O O O O O O O O O B O O O O	['scopolamine']	1	3	"Sentence: However , studies into the dose necessary to combating scopolamine intoxication are indicated .
Drugs: scopolamine"	"Sentence: However , studies into the dose necessary to combating scopolamine intoxication are indicated .
Drugs:"
27	Effects of uninephrectomy and high protein feeding on lithium - induced chronic renal failure in rats .	O O O O O O O O B O O O O O O O O	['lithium']	1	3	"Sentence: Effects of uninephrectomy and high protein feeding on lithium - induced chronic renal failure in rats .
Drugs: lithium"	"Sentence: Effects of uninephrectomy and high protein feeding on lithium - induced chronic renal failure in rats .
Drugs:"
28	Rats with lithium - induced nephropathy were subjected to high protein ( HP ) feeding , uninephrectomy ( NX ) or a combination of these , in an attempt to induce glomerular hyperfiltration and further progression of renal failure .	O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	['lithium']	1	3	"Sentence: Rats with lithium - induced nephropathy were subjected to high protein ( HP ) feeding , uninephrectomy ( NX ) or a combination of these , in an attempt to induce glomerular hyperfiltration and further progression of renal failure .
Drugs: lithium"	"Sentence: Rats with lithium - induced nephropathy were subjected to high protein ( HP ) feeding , uninephrectomy ( NX ) or a combination of these , in an attempt to induce glomerular hyperfiltration and further progression of renal failure .
Drugs:"
29	Newborn female Wistar rats were fed a lithium - containing diet ( 50 mmol / kg ) for 8 weeks and then randomized to normal diet , HP diet ( 40 vs . 19 % ) , NX or HP + NX for another 8 weeks .	O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	['lithium']	1	3	"Sentence: Newborn female Wistar rats were fed a lithium - containing diet ( 50 mmol / kg ) for 8 weeks and then randomized to normal diet , HP diet ( 40 vs . 19 % ) , NX or HP + NX for another 8 weeks .
Drugs: lithium"	"Sentence: Newborn female Wistar rats were fed a lithium - containing diet ( 50 mmol / kg ) for 8 weeks and then randomized to normal diet , HP diet ( 40 vs . 19 % ) , NX or HP + NX for another 8 weeks .
Drugs:"
30	Corresponding non - lithium pretreated groups were generated .	O O O B O O O O O	['lithium']	1	3	"Sentence: Corresponding non - lithium pretreated groups were generated .
Drugs: lithium"	"Sentence: Corresponding non - lithium pretreated groups were generated .
Drugs:"
31	When comparing all lithium treated versus non - lithium - treated groups , lithium caused a reduction in glomerular filtration rate ( GFR ) without significant changes in effective renal plasma flow ( as determined by a marker secreted into the proximal tubules ) or lithium clearance .	O O O B O O O O B O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O	['lithium']	1	3	"Sentence: When comparing all lithium treated versus non - lithium - treated groups , lithium caused a reduction in glomerular filtration rate ( GFR ) without significant changes in effective renal plasma flow ( as determined by a marker secreted into the proximal tubules ) or lithium clearance .
Drugs: lithium"	"Sentence: When comparing all lithium treated versus non - lithium - treated groups , lithium caused a reduction in glomerular filtration rate ( GFR ) without significant changes in effective renal plasma flow ( as determined by a marker secreted into the proximal tubules ) or lithium clearance .
Drugs:"
32	Consequently , lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion .	O O B O O O O O O O O O O O O B O O	['li', 'lithium']	2	3	"Sentence: Consequently , lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion .
Drugs: li, lithium"	"Sentence: Consequently , lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion .
Drugs:"
33	Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis .	B O O O O O O O O O O O	['lithium']	1	3	"Sentence: Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis .
Drugs: lithium"	"Sentence: Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis .
Drugs:"
34	HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats .	O O O O O O O O O O O O O O O O O O B O O B O O O	['creatinine', 'lithium']	2	5	"Sentence: HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats .
Drugs: creatinine, lithium"	"Sentence: HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats .
Drugs:"
35	NX caused an additive deterioration in GFR which , however , was ameliorated by HP .	O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: NX caused an additive deterioration in GFR which , however , was ameliorated by HP .
Drugs: "	"Sentence: NX caused an additive deterioration in GFR which , however , was ameliorated by HP .
Drugs:"
36	NX + HP caused a further rise in blood pressure in Li - pretreated rats .	O O O O O O O O O O O B O O O O	['li']	1	1	"Sentence: NX + HP caused a further rise in blood pressure in Li - pretreated rats .
Drugs: li"	"Sentence: NX + HP caused a further rise in blood pressure in Li - pretreated rats .
Drugs:"
37	The results indicate that Li - induced nephropathy , even when the GFR is only modestly reduced , is associated with proteinuria and arterial systolic hypertension .	O O O O B O O O O O O O O O O O O O O O O O O O O O O	['li']	1	1	"Sentence: The results indicate that Li - induced nephropathy , even when the GFR is only modestly reduced , is associated with proteinuria and arterial systolic hypertension .
Drugs: li"	"Sentence: The results indicate that Li - induced nephropathy , even when the GFR is only modestly reduced , is associated with proteinuria and arterial systolic hypertension .
Drugs:"
38	In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow , which may be the functional expression of the formation of nonfiltrating atubular glomeruli .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow , which may be the functional expression of the formation of nonfiltrating atubular glomeruli .
Drugs: "	"Sentence: In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow , which may be the functional expression of the formation of nonfiltrating atubular glomeruli .
Drugs:"
39	The fractional reabsorption of tubular fluid by the proximal tubules is reduced , leaving the distal delivery unchanged . ( ABSTRACT TRUNCATED AT 250 WORDS )	O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: The fractional reabsorption of tubular fluid by the proximal tubules is reduced , leaving the distal delivery unchanged . ( ABSTRACT TRUNCATED AT 250 WORDS )
Drugs: "	"Sentence: The fractional reabsorption of tubular fluid by the proximal tubules is reduced , leaving the distal delivery unchanged . ( ABSTRACT TRUNCATED AT 250 WORDS )
Drugs:"
40	Treatment of Crohn 's disease with fusidic acid : an antibiotic with immunosuppressive properties similar to cyclosporin .	O O O O O O B I O O O O O O O O B O	['cyclosporin', 'fusidic acid']	2	10	"Sentence: Treatment of Crohn 's disease with fusidic acid : an antibiotic with immunosuppressive properties similar to cyclosporin .
Drugs: cyclosporin, fusidic acid"	"Sentence: Treatment of Crohn 's disease with fusidic acid : an antibiotic with immunosuppressive properties similar to cyclosporin .
Drugs:"
41	Fusidic acid is an antibiotic with T - cell specific immunosuppressive effects similar to those of cyclosporin .	O O O O O O O O O O O O O O O O B O	['cyclosporin']	1	4	"Sentence: Fusidic acid is an antibiotic with T - cell specific immunosuppressive effects similar to those of cyclosporin .
Drugs: cyclosporin"	"Sentence: Fusidic acid is an antibiotic with T - cell specific immunosuppressive effects similar to those of cyclosporin .
Drugs:"
42	Because of the need for the development of new treatments for Crohn 's disease , a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active , therapy - resistant patients .	O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O	['fusidic acid']	1	5	"Sentence: Because of the need for the development of new treatments for Crohn 's disease , a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active , therapy - resistant patients .
Drugs: fusidic acid"	"Sentence: Because of the need for the development of new treatments for Crohn 's disease , a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active , therapy - resistant patients .
Drugs:"
43	Eight Crohn 's disease patients were included .	O O O O O O O O	[]	0	0	"Sentence: Eight Crohn 's disease patients were included .
Drugs: "	"Sentence: Eight Crohn 's disease patients were included .
Drugs:"
44	Fusidic acid was administered orally in a dose of 500 mg t . d . s .	B I O O O O O O O O O O O O O O O	['fusidic acid']	1	5	"Sentence: Fusidic acid was administered orally in a dose of 500 mg t . d . s .
Drugs: fusidic acid"	"Sentence: Fusidic acid was administered orally in a dose of 500 mg t . d . s .
Drugs:"
45	and the treatment was planned to last 8 weeks .	O O O O O O O O O O	[]	0	0	"Sentence: and the treatment was planned to last 8 weeks .
Drugs: "	"Sentence: and the treatment was planned to last 8 weeks .
Drugs:"
46	The disease activity was primarily measured by a modified individual grading score .	O O O O O O O O O O O O O	[]	0	0	"Sentence: The disease activity was primarily measured by a modified individual grading score .
Drugs: "	"Sentence: The disease activity was primarily measured by a modified individual grading score .
Drugs:"
47	Five of 8 patients ( 63 % ) improved during fusidic acid treatment : 3 at two weeks and 2 after four weeks .	O O O O O O O O O O B I O O O O O O O O O O O O	['fusidic acid']	1	5	"Sentence: Five of 8 patients ( 63 % ) improved during fusidic acid treatment : 3 at two weeks and 2 after four weeks .
Drugs: fusidic acid"	"Sentence: Five of 8 patients ( 63 % ) improved during fusidic acid treatment : 3 at two weeks and 2 after four weeks .
Drugs:"
48	There were no serious clinical side effects , but dose reduction was required in two patients because of nausea .	O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: There were no serious clinical side effects , but dose reduction was required in two patients because of nausea .
Drugs: "	"Sentence: There were no serious clinical side effects , but dose reduction was required in two patients because of nausea .
Drugs:"
49	Biochemically , an increase in alkaline phosphatases was noted in 5 of 8 cases ( 63 % ) , and the greatest increases were seen in those who had elevated levels prior to treatment .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Biochemically , an increase in alkaline phosphatases was noted in 5 of 8 cases ( 63 % ) , and the greatest increases were seen in those who had elevated levels prior to treatment .
Drugs: "	"Sentence: Biochemically , an increase in alkaline phosphatases was noted in 5 of 8 cases ( 63 % ) , and the greatest increases were seen in those who had elevated levels prior to treatment .
Drugs:"
50	All reversed to pre - treatment levels after cessation of treatment .	O O O O O O O O O O O O	[]	0	0	"Sentence: All reversed to pre - treatment levels after cessation of treatment .
Drugs: "	"Sentence: All reversed to pre - treatment levels after cessation of treatment .
Drugs:"
51	The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn 's disease patients in whom conventional treatment is ineffective .	O O O O O O O O B I O O O O O O O O O O O O O O O O O O O	['fusidic acid']	1	5	"Sentence: The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn 's disease patients in whom conventional treatment is ineffective .
Drugs: fusidic acid"	"Sentence: The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn 's disease patients in whom conventional treatment is ineffective .
Drugs:"
52	Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease , we suggest that the role of this treatment should be further investigated .	O O O O O O O O O O O O B I O O O O O O O O O O O O O O O O O O O O O O	['fusidic acid']	1	5	"Sentence: Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease , we suggest that the role of this treatment should be further investigated .
Drugs: fusidic acid"	"Sentence: Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease , we suggest that the role of this treatment should be further investigated .
Drugs:"
53	Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers .	O O O O O O O O B O O	['cocaine']	1	3	"Sentence: Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers .
Drugs: cocaine"	"Sentence: Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers .
Drugs:"
54	The electrocardiograms ( ECG ) of 99 cocaine - abusing patients were compared with the ECGs of 50 schizophrenic controls .	O O O O O O O B O O O O O O O O O O O O O	['cocaine']	1	3	"Sentence: The electrocardiograms ( ECG ) of 99 cocaine - abusing patients were compared with the ECGs of 50 schizophrenic controls .
Drugs: cocaine"	"Sentence: The electrocardiograms ( ECG ) of 99 cocaine - abusing patients were compared with the ECGs of 50 schizophrenic controls .
Drugs:"
55	Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction , ischemia , and bundle branch block .	O O O B O O O O O O O O O O O O O O O O O O O O O O O O O	['cocaine']	1	3	"Sentence: Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction , ischemia , and bundle branch block .
Drugs: cocaine"	"Sentence: Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction , ischemia , and bundle branch block .
Drugs:"
56	Sulpiride - induced tardive dystonia .	B O O O O O	['sulpiride']	1	4	"Sentence: Sulpiride - induced tardive dystonia .
Drugs: sulpiride"	"Sentence: Sulpiride - induced tardive dystonia .
Drugs:"
57	Sulpiride is a selective D2 - receptor antagonist with antipsychotic and antidepressant properties .	B O O O O O O O O O O B O O	['antidepressant', 'sulpiride']	2	7	"Sentence: Sulpiride is a selective D2 - receptor antagonist with antipsychotic and antidepressant properties .
Drugs: antidepressant, sulpiride"	"Sentence: Sulpiride is a selective D2 - receptor antagonist with antipsychotic and antidepressant properties .
Drugs:"
58	Although initially thought to be free of extrapyramidal side effects , sulpiride - induced tardive dyskinesia and parkinsonism have been reported occasionally .	O O O O O O O O O O O B O O O O O O O O O O O	['sulpiride']	1	4	"Sentence: Although initially thought to be free of extrapyramidal side effects , sulpiride - induced tardive dyskinesia and parkinsonism have been reported occasionally .
Drugs: sulpiride"	"Sentence: Although initially thought to be free of extrapyramidal side effects , sulpiride - induced tardive dyskinesia and parkinsonism have been reported occasionally .
Drugs:"
59	We studied a 37 - year - old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy .	O O O O O O O O O O O O O O O O O O O B O O	['sulpiride']	1	4	"Sentence: We studied a 37 - year - old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy .
Drugs: sulpiride"	"Sentence: We studied a 37 - year - old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy .
Drugs:"
60	We could not find any previous reports of sulpiride - induced tardive dystonia .	O O O O O O O O B O O O O O	['sulpiride']	1	4	"Sentence: We could not find any previous reports of sulpiride - induced tardive dystonia .
Drugs: sulpiride"	"Sentence: We could not find any previous reports of sulpiride - induced tardive dystonia .
Drugs:"
61	Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine .	O O O O O O O O B O	['desferrioxamine']	1	5	"Sentence: Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine .
Drugs: desferrioxamine"	"Sentence: Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine .
Drugs:"
62	During an 18 - month period of study 41 hemodialyzed patients receiving desferrioxamine ( 10 - 40 mg / kg BW / 3 times weekly ) for the first time were monitored for detection of audiovisual toxicity .	O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O	['desferrioxamine']	1	5	"Sentence: During an 18 - month period of study 41 hemodialyzed patients receiving desferrioxamine ( 10 - 40 mg / kg BW / 3 times weekly ) for the first time were monitored for detection of audiovisual toxicity .
Drugs: desferrioxamine"	"Sentence: During an 18 - month period of study 41 hemodialyzed patients receiving desferrioxamine ( 10 - 40 mg / kg BW / 3 times weekly ) for the first time were monitored for detection of audiovisual toxicity .
Drugs:"
63	6 patients presented clinical symptoms of visual or auditory toxicity .	O O O O O O O O O O O	[]	0	0	"Sentence: 6 patients presented clinical symptoms of visual or auditory toxicity .
Drugs: "	"Sentence: 6 patients presented clinical symptoms of visual or auditory toxicity .
Drugs:"
64	Moreover , detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients .	O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Moreover , detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients .
Drugs: "	"Sentence: Moreover , detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients .
Drugs:"
65	Visual toxicity was of retinal origin and was characterized by a tritan - type dyschromatopsy , sometimes associated with a loss of visual acuity and pigmentary retinal deposits .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Visual toxicity was of retinal origin and was characterized by a tritan - type dyschromatopsy , sometimes associated with a loss of visual acuity and pigmentary retinal deposits .
Drugs: "	"Sentence: Visual toxicity was of retinal origin and was characterized by a tritan - type dyschromatopsy , sometimes associated with a loss of visual acuity and pigmentary retinal deposits .
Drugs:"
66	Auditory toxicity was characterized by a mid - to high - frequency neurosensorial hearing loss and the lesion was of the cochlear type .	O O O O O O O O O O O O O O O O O O O O O O O O	[]	0	0	"Sentence: Auditory toxicity was characterized by a mid - to high - frequency neurosensorial hearing loss and the lesion was of the cochlear type .
Drugs: "	"Sentence: Auditory toxicity was characterized by a mid - to high - frequency neurosensorial hearing loss and the lesion was of the cochlear type .
Drugs:"
