,sents,ner_seq,entities,num_entities,num_tokens,prompts,empty_prompts
10,"The HRAS1 variable number of tandem repeats ( VNTR ) polymorphism , located 1 kilobase ( kb ) downstream of the HRAS1 proto - oncogene ( chromosome 11p15 . 5 ) is one possible genetic modifier of cancer penetrance .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease O O,['cancer'],1,1,"Sentence: The HRAS1 variable number of tandem repeats ( VNTR ) polymorphism , located 1 kilobase ( kb ) downstream of the HRAS1 proto - oncogene ( chromosome 11p15 . 5 ) is one possible genetic modifier of cancer penetrance .
Diseases: cancer","Sentence: The HRAS1 variable number of tandem repeats ( VNTR ) polymorphism , located 1 kilobase ( kb ) downstream of the HRAS1 proto - oncogene ( chromosome 11p15 . 5 ) is one possible genetic modifier of cancer penetrance .
Diseases:"
11,"Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .",O O O O O O O O O O O O O O O O B-Disease O O B-Disease I-Disease O O O O O O,"['breast cancer', 'cancers']",2,5,"Sentence: Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .
Diseases: breast cancer, cancers","Sentence: Individuals who have rare alleles of the VNTR have an increased risk of certain types of cancers , including breast cancer ( 2 - 4 ) .
Diseases:"
12,"To investigate whether the presence of rare HRAS1 alleles increases susceptibility to hereditary breast and ovarian cancer , we have typed a panel of 307 female BRCA1 carriers at this locus using a PCR - based technique .",O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O O O O O O,['hereditary breast and ovarian cancer'],1,6,"Sentence: To investigate whether the presence of rare HRAS1 alleles increases susceptibility to hereditary breast and ovarian cancer , we have typed a panel of 307 female BRCA1 carriers at this locus using a PCR - based technique .
Diseases: hereditary breast and ovarian cancer","Sentence: To investigate whether the presence of rare HRAS1 alleles increases susceptibility to hereditary breast and ovarian cancer , we have typed a panel of 307 female BRCA1 carriers at this locus using a PCR - based technique .
Diseases:"
13,The risk for ovarian cancer was 2 .,O O O B-Disease I-Disease O O O,['ovarian cancer'],1,3,"Sentence: The risk for ovarian cancer was 2 .
Diseases: ovarian cancer","Sentence: The risk for ovarian cancer was 2 .
Diseases:"
14,"11 times greater for BRCA1 carriers harbouring one or two rare HRAS1 alleles , compared to carriers with only common alleles ( P = 0 . 015 ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: 11 times greater for BRCA1 carriers harbouring one or two rare HRAS1 alleles , compared to carriers with only common alleles ( P = 0 . 015 ) .
Diseases: ","Sentence: 11 times greater for BRCA1 carriers harbouring one or two rare HRAS1 alleles , compared to carriers with only common alleles ( P = 0 . 015 ) .
Diseases:"
15,The magnitude of the relative risk associated with a rare HRAS1 allele was not altered by adjusting for the other known risk factors for hereditary ovarian cancer ( 5 ) .,O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease O O O O,['hereditary ovarian cancer'],1,4,"Sentence: The magnitude of the relative risk associated with a rare HRAS1 allele was not altered by adjusting for the other known risk factors for hereditary ovarian cancer ( 5 ) .
Diseases: hereditary ovarian cancer","Sentence: The magnitude of the relative risk associated with a rare HRAS1 allele was not altered by adjusting for the other known risk factors for hereditary ovarian cancer ( 5 ) .
Diseases:"
16,Susceptibility to breast cancer did not appear to be affected by the presence of rare HRAS1 alleles .,O O B-Disease I-Disease O O O O O O O O O O O O O O,['breast cancer'],1,3,"Sentence: Susceptibility to breast cancer did not appear to be affected by the presence of rare HRAS1 alleles .
Diseases: breast cancer","Sentence: Susceptibility to breast cancer did not appear to be affected by the presence of rare HRAS1 alleles .
Diseases:"
17,This study is the first to show the effect of a modifying gene on the penetrance of an inherited cancer syndrome,O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease,['inherited cancer syndrome'],1,5,"Sentence: This study is the first to show the effect of a modifying gene on the penetrance of an inherited cancer syndrome
Diseases: inherited cancer syndrome","Sentence: This study is the first to show the effect of a modifying gene on the penetrance of an inherited cancer syndrome
Diseases:"
18,A novel homeodomain - encoding gene is associated with a large CpG island interrupted by the myotonic dystrophy unstable ( CTG ) n repeat .,O O O O O O O O O O O O O O O O B-Disease I-Disease O O O O O O O,['myotonic dystrophy'],1,6,"Sentence: A novel homeodomain - encoding gene is associated with a large CpG island interrupted by the myotonic dystrophy unstable ( CTG ) n repeat .
Diseases: myotonic dystrophy","Sentence: A novel homeodomain - encoding gene is associated with a large CpG island interrupted by the myotonic dystrophy unstable ( CTG ) n repeat .
Diseases:"
19,"Myotonic dystrophy ( DM ) is associated with a ( CTG ) n trinucleotide repeat expansion in the 3 - untranslated region of a protein kinase - encoding gene , DMPK , which maps to chromosome 19q13 .",B-Disease I-Disease O B-Disease O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,"['dm', 'myotonic dystrophy']",2,8,"Sentence: Myotonic dystrophy ( DM ) is associated with a ( CTG ) n trinucleotide repeat expansion in the 3 - untranslated region of a protein kinase - encoding gene , DMPK , which maps to chromosome 19q13 .
Diseases: dm, myotonic dystrophy","Sentence: Myotonic dystrophy ( DM ) is associated with a ( CTG ) n trinucleotide repeat expansion in the 3 - untranslated region of a protein kinase - encoding gene , DMPK , which maps to chromosome 19q13 .
Diseases:"
20,3 .,O O,[],0,0,"Sentence: 3 .
Diseases: ","Sentence: 3 .
Diseases:"
21,"Characterisation of the expression of this gene in patient tissues has thus far generated conflicting data on alterations in the steady state levels of DMPK mRNA , and on the final DMPK protein levels in the presence of the expansion .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Characterisation of the expression of this gene in patient tissues has thus far generated conflicting data on alterations in the steady state levels of DMPK mRNA , and on the final DMPK protein levels in the presence of the expansion .
Diseases: ","Sentence: Characterisation of the expression of this gene in patient tissues has thus far generated conflicting data on alterations in the steady state levels of DMPK mRNA , and on the final DMPK protein levels in the presence of the expansion .
Diseases:"
22,"The DM region of chromosome 19 is gene rich , and it is possible that the repeat expansion may lead to dysfunction of a number of transcription units in the vicinity , perhaps as a consequence of chromatin disruption .",O B-Disease O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,['dm'],1,1,"Sentence: The DM region of chromosome 19 is gene rich , and it is possible that the repeat expansion may lead to dysfunction of a number of transcription units in the vicinity , perhaps as a consequence of chromatin disruption .
Diseases: dm","Sentence: The DM region of chromosome 19 is gene rich , and it is possible that the repeat expansion may lead to dysfunction of a number of transcription units in the vicinity , perhaps as a consequence of chromatin disruption .
Diseases:"
23,We have searched for genes associated with a CpG island at the 3 end of DMPK .,O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: We have searched for genes associated with a CpG island at the 3 end of DMPK .
Diseases: ","Sentence: We have searched for genes associated with a CpG island at the 3 end of DMPK .
Diseases:"
24,Sequencing of this region shows that the island extends over 3 .,O O O O O O O O O O O O,[],0,0,"Sentence: Sequencing of this region shows that the island extends over 3 .
Diseases: ","Sentence: Sequencing of this region shows that the island extends over 3 .
Diseases:"
25,5 kb and is interrupted by the ( CTG ) n repeat .,O O O O O O O O O O O O O,[],0,0,"Sentence: 5 kb and is interrupted by the ( CTG ) n repeat .
Diseases: ","Sentence: 5 kb and is interrupted by the ( CTG ) n repeat .
Diseases:"
26,Comparison of genomic sequences downstream ( centromeric ) of the repeat in human and mouse identified regions of significant homology .,O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Comparison of genomic sequences downstream ( centromeric ) of the repeat in human and mouse identified regions of significant homology .
Diseases: ","Sentence: Comparison of genomic sequences downstream ( centromeric ) of the repeat in human and mouse identified regions of significant homology .
Diseases:"
27,These correspond to exons of a gene predicted to encode a homeodomain protein .,O O O O O O O O O O O O O O,[],0,0,"Sentence: These correspond to exons of a gene predicted to encode a homeodomain protein .
Diseases: ","Sentence: These correspond to exons of a gene predicted to encode a homeodomain protein .
Diseases:"
28,"RT - PCR analysis shows that this gene , which we have called DM locus - associated homeodomain protein ( DMAHP ) , is expressed in a number of human tissues , including skeletal muscle , heart and brain .",O O O O O O O O O O O O O B-Disease O O O O O O O O O O O O O O O O O O O O O O O O O O,['dm'],1,1,"Sentence: RT - PCR analysis shows that this gene , which we have called DM locus - associated homeodomain protein ( DMAHP ) , is expressed in a number of human tissues , including skeletal muscle , heart and brain .
Diseases: dm","Sentence: RT - PCR analysis shows that this gene , which we have called DM locus - associated homeodomain protein ( DMAHP ) , is expressed in a number of human tissues , including skeletal muscle , heart and brain .
Diseases:"
29,Germline mutations in the RB1 gene in patients with hereditary retinoblastoma .,O O O O O O O O O B-Disease I-Disease O,['hereditary retinoblastoma'],1,7,"Sentence: Germline mutations in the RB1 gene in patients with hereditary retinoblastoma .
Diseases: hereditary retinoblastoma","Sentence: Germline mutations in the RB1 gene in patients with hereditary retinoblastoma .
Diseases:"
30,We have analyzed the 27 exons and the promoter region of the RB1 gene in familial or sporadic bilateral retinoblastoma by using single - strand conformation polymorphism analysis .,O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O O O,['familial or sporadic bilateral retinoblastoma'],1,10,"Sentence: We have analyzed the 27 exons and the promoter region of the RB1 gene in familial or sporadic bilateral retinoblastoma by using single - strand conformation polymorphism analysis .
Diseases: familial or sporadic bilateral retinoblastoma","Sentence: We have analyzed the 27 exons and the promoter region of the RB1 gene in familial or sporadic bilateral retinoblastoma by using single - strand conformation polymorphism analysis .
Diseases:"
31,"For improvement over previous studies , a new set of primers has been designed , which allow for amplification of the coding and splicing sequences only .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: For improvement over previous studies , a new set of primers has been designed , which allow for amplification of the coding and splicing sequences only .
Diseases: ","Sentence: For improvement over previous studies , a new set of primers has been designed , which allow for amplification of the coding and splicing sequences only .
Diseases:"
32,"The positioning of the polymerase chain reaction ( PCR ) primers was such that the resulting PCR products were of different sizes , which enabled us to analyze two different exons simultaneously and still distinguish between the banding profiles for both ( biplex analysis ) .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The positioning of the polymerase chain reaction ( PCR ) primers was such that the resulting PCR products were of different sizes , which enabled us to analyze two different exons simultaneously and still distinguish between the banding profiles for both ( biplex analysis ) .
Diseases: ","Sentence: The positioning of the polymerase chain reaction ( PCR ) primers was such that the resulting PCR products were of different sizes , which enabled us to analyze two different exons simultaneously and still distinguish between the banding profiles for both ( biplex analysis ) .
Diseases:"
33,"By using this approach , we were able to identify mutation in 22 new patients , but the overall efficiency of the procedure when we used a single - pass regimen was only 48 % .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: By using this approach , we were able to identify mutation in 22 new patients , but the overall efficiency of the procedure when we used a single - pass regimen was only 48 % .
Diseases: ","Sentence: By using this approach , we were able to identify mutation in 22 new patients , but the overall efficiency of the procedure when we used a single - pass regimen was only 48 % .
Diseases:"
34,The mutations were small insertions and deletions and point mutations in roughly equal proportions . .,O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The mutations were small insertions and deletions and point mutations in roughly equal proportions . .
Diseases: ","Sentence: The mutations were small insertions and deletions and point mutations in roughly equal proportions . .
Diseases:"
35,Type II human complement C2 deficiency .,B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O,['type ii human complement c2 deficiency'],1,7,"Sentence: Type II human complement C2 deficiency .
Diseases: type ii human complement c2 deficiency","Sentence: Type II human complement C2 deficiency .
Diseases:"
36,Allele - specific amino acid substitutions ( Ser189 - - > Phe ; Gly444 - - > Arg ) cause impaired C2 secretion .,O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Allele - specific amino acid substitutions ( Ser189 - - > Phe ; Gly444 - - > Arg ) cause impaired C2 secretion .
Diseases: ","Sentence: Allele - specific amino acid substitutions ( Ser189 - - > Phe ; Gly444 - - > Arg ) cause impaired C2 secretion .
Diseases:"
37,Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .,B-Disease I-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O O O O,['type ii complement protein c2 deficiency'],1,7,"Sentence: Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .
Diseases: type ii complement protein c2 deficiency","Sentence: Type II complement protein C2 deficiency is characterized by a selective block in C2 secretion .
Diseases:"
38,The Type II C2,O O O O,[],0,0,"Sentence: The Type II C2
Diseases: ","Sentence: The Type II C2
Diseases:"
39,allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .,O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease O,['type i c2 deficiency'],1,5,"Sentence: allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .
Diseases: type i c2 deficiency","Sentence: allele ( C2Q0 ) is linked to two major histocompatibility haplotypes ( MHC ) that differ from the MHC of the more common Type I C2 deficiency .
Diseases:"
40,To determine the molecular basis of Type II deficiency the two Type II C2Q0 genes were isolated and transfected separately into L - cells .,O O O O O O B-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O,['type ii deficiency'],1,3,"Sentence: To determine the molecular basis of Type II deficiency the two Type II C2Q0 genes were isolated and transfected separately into L - cells .
Diseases: type ii deficiency","Sentence: To determine the molecular basis of Type II deficiency the two Type II C2Q0 genes were isolated and transfected separately into L - cells .
Diseases:"
41,"Subsequent molecular biology , biosynthetic , and immunofluorescence studies demonstrated that C2 secretion is impaired in Type II C2 deficiency because of different missense mutations at highly conserved residues in each of the C2Q0 alleles .",O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O,['type ii c2 deficiency'],1,5,"Sentence: Subsequent molecular biology , biosynthetic , and immunofluorescence studies demonstrated that C2 secretion is impaired in Type II C2 deficiency because of different missense mutations at highly conserved residues in each of the C2Q0 alleles .
Diseases: type ii c2 deficiency","Sentence: Subsequent molecular biology , biosynthetic , and immunofluorescence studies demonstrated that C2 secretion is impaired in Type II C2 deficiency because of different missense mutations at highly conserved residues in each of the C2Q0 alleles .
Diseases:"
42,"One is in exon 5 ( nucleotide C566 - - > T ; Ser189 - - > Phe ) of the C2Q0 gene linked to the MHC haplotype A11 , B35 , DRw1 , BFS , C4A0B1 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: One is in exon 5 ( nucleotide C566 - - > T ; Ser189 - - > Phe ) of the C2Q0 gene linked to the MHC haplotype A11 , B35 , DRw1 , BFS , C4A0B1 .
Diseases: ","Sentence: One is in exon 5 ( nucleotide C566 - - > T ; Ser189 - - > Phe ) of the C2Q0 gene linked to the MHC haplotype A11 , B35 , DRw1 , BFS , C4A0B1 .
Diseases:"
43,"The other is in exon 11 ( G1930 - - > A ; Gly444 - - > Arg ) of the C2Q0 gene linked to the MHC haplotype A2 , B5 , DRw4 , BFS , C4A3B1 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The other is in exon 11 ( G1930 - - > A ; Gly444 - - > Arg ) of the C2Q0 gene linked to the MHC haplotype A2 , B5 , DRw4 , BFS , C4A3B1 .
Diseases: ","Sentence: The other is in exon 11 ( G1930 - - > A ; Gly444 - - > Arg ) of the C2Q0 gene linked to the MHC haplotype A2 , B5 , DRw4 , BFS , C4A3B1 .
Diseases:"
44,Each mutant C2 gene product is retained early in the secretory pathway .,O O O O O O O O O O O O O,[],0,0,"Sentence: Each mutant C2 gene product is retained early in the secretory pathway .
Diseases: ","Sentence: Each mutant C2 gene product is retained early in the secretory pathway .
Diseases:"
45,These mutants provide models for elucidating the C2 secretory pathway . .,O O O O O O O O O O O O,[],0,0,"Sentence: These mutants provide models for elucidating the C2 secretory pathway . .
Diseases: ","Sentence: These mutants provide models for elucidating the C2 secretory pathway . .
Diseases:"
46,Defective dimerization of von Willebrand factor subunits due to a Cys - > Arg mutation in type IID von Willebrand disease .,O O O B-Disease I-Disease O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O,"['type iid von willebrand disease', 'von willebrand']",2,13,"Sentence: Defective dimerization of von Willebrand factor subunits due to a Cys - > Arg mutation in type IID von Willebrand disease .
Diseases: type iid von willebrand disease, von willebrand","Sentence: Defective dimerization of von Willebrand factor subunits due to a Cys - > Arg mutation in type IID von Willebrand disease .
Diseases:"
47,"The same heterozygous T - > C transition at nt 8567 of the von Willebrand factor ( vWF ) transcript was found in two unrelated patients with type IID von Willebrand disease , with no other apparent abnormality .",O O O O O O O O O O O O O B-Disease I-Disease O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O O O O O O,"['type iid von willebrand disease', 'von willebrand']",2,13,"Sentence: The same heterozygous T - > C transition at nt 8567 of the von Willebrand factor ( vWF ) transcript was found in two unrelated patients with type IID von Willebrand disease , with no other apparent abnormality .
Diseases: type iid von willebrand disease, von willebrand","Sentence: The same heterozygous T - > C transition at nt 8567 of the von Willebrand factor ( vWF ) transcript was found in two unrelated patients with type IID von Willebrand disease , with no other apparent abnormality .
Diseases:"
48,"In one family , both alleles were normal in the parents and one sister ; thus , the mutation originated de novo in the proposita .",O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: In one family , both alleles were normal in the parents and one sister ; thus , the mutation originated de novo in the proposita .
Diseases: ","Sentence: In one family , both alleles were normal in the parents and one sister ; thus , the mutation originated de novo in the proposita .
Diseases:"
49,"The second patient also had asymptomatic parents who , however , were not available for study .",O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The second patient also had asymptomatic parents who , however , were not available for study .
Diseases: ","Sentence: The second patient also had asymptomatic parents who , however , were not available for study .
Diseases:"
50,"The structural consequences of the identified mutation , resulting in the CyS2010 - > Arg substitution , were evaluated by expression of the vWF carboxyl - terminal domain containing residues 1366 - 2050 .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The structural consequences of the identified mutation , resulting in the CyS2010 - > Arg substitution , were evaluated by expression of the vWF carboxyl - terminal domain containing residues 1366 - 2050 .
Diseases: ","Sentence: The structural consequences of the identified mutation , resulting in the CyS2010 - > Arg substitution , were evaluated by expression of the vWF carboxyl - terminal domain containing residues 1366 - 2050 .
Diseases:"
51,"Insect cells infected with recombinant baculovirus expressing normal vWF sequence secreted a disulfide linked dimeric molecule with an apparent molecular mass of 150 kDa before reduction , yielding a single band of 80 kDa after disulfide bond reduction .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Insect cells infected with recombinant baculovirus expressing normal vWF sequence secreted a disulfide linked dimeric molecule with an apparent molecular mass of 150 kDa before reduction , yielding a single band of 80 kDa after disulfide bond reduction .
Diseases: ","Sentence: Insect cells infected with recombinant baculovirus expressing normal vWF sequence secreted a disulfide linked dimeric molecule with an apparent molecular mass of 150 kDa before reduction , yielding a single band of 80 kDa after disulfide bond reduction .
Diseases:"
52,"In contrast , cells expressing the mutant fragment secreted a monomeric molecule of apparent molecular mass of 80 kDa , which remained unchanged after reduction .",O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: In contrast , cells expressing the mutant fragment secreted a monomeric molecule of apparent molecular mass of 80 kDa , which remained unchanged after reduction .
Diseases: ","Sentence: In contrast , cells expressing the mutant fragment secreted a monomeric molecule of apparent molecular mass of 80 kDa , which remained unchanged after reduction .
Diseases:"
53,We conclude that CyS2010 is essential for normal dimerization of vWF subunits through disulfide bonding of carboxyl - terminal domains and that a heterozygous mutation in the corresponding codon is responsible for defective multimer formation in type IID von Willebrand disease . .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease I-Disease O O,['type iid von willebrand disease'],1,8,"Sentence: We conclude that CyS2010 is essential for normal dimerization of vWF subunits through disulfide bonding of carboxyl - terminal domains and that a heterozygous mutation in the corresponding codon is responsible for defective multimer formation in type IID von Willebrand disease . .
Diseases: type iid von willebrand disease","Sentence: We conclude that CyS2010 is essential for normal dimerization of vWF subunits through disulfide bonding of carboxyl - terminal domains and that a heterozygous mutation in the corresponding codon is responsible for defective multimer formation in type IID von Willebrand disease . .
Diseases:"
54,"Wiskott - Aldrich syndrome protein , a novel effector for the GTPase CDC42Hs , is implicated in actin polymerization .",B-Disease I-Disease I-Disease I-Disease O O O O O O O O O O O O O O O O,['wiskott - aldrich syndrome'],1,8,"Sentence: Wiskott - Aldrich syndrome protein , a novel effector for the GTPase CDC42Hs , is implicated in actin polymerization .
Diseases: wiskott - aldrich syndrome","Sentence: Wiskott - Aldrich syndrome protein , a novel effector for the GTPase CDC42Hs , is implicated in actin polymerization .
Diseases:"
55,"The Rho family of GTPases control diverse biological processes , including cell morphology and mitogenesis .",O O O O O O O O O O O O O O O O,[],0,0,"Sentence: The Rho family of GTPases control diverse biological processes , including cell morphology and mitogenesis .
Diseases: ","Sentence: The Rho family of GTPases control diverse biological processes , including cell morphology and mitogenesis .
Diseases:"
56,"We have identified WASP , the protein that is defective in Wiskott - Aldrich syndrome ( WAS ) , as a novel effector for CDC42Hs , but not for the other Rho family members , Rac and Rho .",O O O O O O O O O O O B-Disease I-Disease I-Disease I-Disease O B-Disease O O O O O O O O O O O O O O O O O O O O O O,"['was', 'wiskott - aldrich syndrome']",2,10,"Sentence: We have identified WASP , the protein that is defective in Wiskott - Aldrich syndrome ( WAS ) , as a novel effector for CDC42Hs , but not for the other Rho family members , Rac and Rho .
Diseases: was, wiskott - aldrich syndrome","Sentence: We have identified WASP , the protein that is defective in Wiskott - Aldrich syndrome ( WAS ) , as a novel effector for CDC42Hs , but not for the other Rho family members , Rac and Rho .
Diseases:"
57,This interaction is dependent on the presence of the G protein - binding domain .,O O O O O O O O O O O O O O O,[],0,0,"Sentence: This interaction is dependent on the presence of the G protein - binding domain .
Diseases: ","Sentence: This interaction is dependent on the presence of the G protein - binding domain .
Diseases:"
58,Cellular expression of epitope - tagged WASP produces clusters of WASP that are highly enriched in polymerized actin .,O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: Cellular expression of epitope - tagged WASP produces clusters of WASP that are highly enriched in polymerized actin .
Diseases: ","Sentence: Cellular expression of epitope - tagged WASP produces clusters of WASP that are highly enriched in polymerized actin .
Diseases:"
59,"This clustering is not observed with a C - terminally deleted WASP and is inhibited by coexpression with dominant negative CDC42Hs - N17 , but not with dominant negative forms of Rac or Rho .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,[],0,0,"Sentence: This clustering is not observed with a C - terminally deleted WASP and is inhibited by coexpression with dominant negative CDC42Hs - N17 , but not with dominant negative forms of Rac or Rho .
Diseases: ","Sentence: This clustering is not observed with a C - terminally deleted WASP and is inhibited by coexpression with dominant negative CDC42Hs - N17 , but not with dominant negative forms of Rac or Rho .
Diseases:"
60,"Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-Disease O,['was'],1,1,"Sentence: Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .
Diseases: was","Sentence: Thus , WASP provides a novel link between CDC42Hs and the actin cytoskeleton , which suggests a molecular mechanism for many of the cellular abnormalities in WAS .
Diseases:"
